time,command,measured,model,cross1,cross2,yaw
0.0,0.0,-0.04072115570306778,0.11379629499278962,0.0,0.0,0.0
0.001,0.0,-0.0807088166475296,0.11379629499278962,0.0,0.0,0.0
0.002,0.0,-0.11952421814203262,0.11379629499278962,0.0,0.0,0.0
0.003,0.0,-0.15681280195713043,0.11379629499278962,0.0,0.0,0.0
0.004,0.0,-0.19229675829410553,0.11379629499278962,0.0,0.0,0.0
0.005,0.0,-0.2257671058177948,0.11379629499278962,0.0,0.0,0.0
0.006,0.0,-0.25707584619522095,0.11379629499278962,0.0,0.0,0.0
0.007,0.0,-0.28612813353538513,0.11379629499278962,0.0,0.0,0.0
0.008,0.0,-0.3128749132156372,0.11379629499278962,0.0,0.0,0.0
0.009000000000000001,0.0,-0.3373059332370758,0.11379629499278962,0.0,0.0,0.0
0.01,0.0,-0.35944312810897827,0.11379629499278962,0.0,0.0,0.0
0.011,0.0,-0.3793348968029022,0.11379629499278962,0.0,0.0,0.0
0.012,0.0,-0.3970506191253662,0.11379629499278962,0.0,0.0,0.0
0.013000000000000001,0.0,-0.41267597675323486,0.11379629499278962,0.0,0.0,0.0
0.014,0.0,-0.42630884051322937,0.11379629499278962,0.0,0.0,0.0
0.015,0.0,-0.4380556046962738,0.11379629499278962,0.0,0.0,0.0
0.016,0.0,-0.44802817702293396,0.11379629499278962,0.0,0.0,0.0
0.017,0.0,-0.45634129643440247,0.11379629499278962,0.0,0.0,0.0
0.018000000000000002,0.0,-0.4631105363368988,0.11379629499278962,0.0,0.0,0.0
0.019,0.0,-0.4684503674507141,0.11379629499278962,0.0,0.0,0.0
0.02,0.0,-0.4724729359149933,0.11379629499278962,0.0,0.0,0.0
0.021,0.0,-0.4752868413925171,0.11379629499278962,0.0,0.0,0.0
0.022,0.0,-0.47699642181396484,0.11379629499278962,0.0,0.0,0.0
0.023,0.0,-0.47770100831985474,0.11379629499278962,0.0,0.0,0.0
0.024,0.0,-0.4774947762489319,0.11379629499278962,0.0,0.0,0.0
0.025,0.0,-0.47646620869636536,0.11379629499278962,0.0,0.0,0.0
0.026000000000000002,0.0,-0.4746982157230377,0.11379629499278962,0.0,0.0,0.0
0.027,0.0,-0.47226810455322266,0.11379629499278962,0.0,0.0,0.0
0.028,0.0,-0.4692475199699402,0.11379629499278962,0.0,0.0,0.0
0.029,0.0,-0.46570271253585815,0.11379629499278962,0.0,0.0,0.0
0.03,0.0,-0.46169477701187134,0.11379629499278962,0.0,0.0,0.0
0.031,0.0,-0.4572798013687134,0.11379629499278962,0.0,0.0,0.0
0.032,0.0,-0.4525090754032135,0.11379629499278962,0.0,0.0,0.0
0.033,0.0,-0.4474295675754547,0.11379629499278962,0.0,0.0,0.0
0.034,0.0,-0.4420839548110962,0.11379629499278962,0.0,0.0,0.0
0.035,0.0,-0.4365110993385315,0.11379629499278962,0.0,0.0,0.0
0.036000000000000004,0.0,-0.4307461977005005,0.11379629499278962,0.0,0.0,0.0
0.037,0.0,-0.4248211085796356,0.11379629499278962,0.0,0.0,0.0
0.038,0.0,-0.418764591217041,0.11379629499278962,0.0,0.0,0.0
0.039,0.0,-0.41260260343551636,0.11379629499278962,0.0,0.0,0.0
0.04,0.0,-0.4063584506511688,0.11379629499278962,0.0,0.0,0.0
0.041,0.0,-0.4000530540943146,0.11379629499278962,0.0,0.0,0.0
